reciprocal,adj.相互的;互惠的
registry,n.登记;注册处
regress,v.倒退;退化
regression,n.退化;退步
regret,n.遗憾,v.后悔
regretful,adj.后悔的;惋惜的
regrettable,adj.遗憾的;可惜的
regulate,v.调节;规定
regulation,n.规则;调节
regulatory,adj.调节的;规定的
regurgitate,v.反胃;涌回
rehabilitate,v.修复;康复
rehabilitation,n.修复;康复
rehearse,v.排练;预演
reign,n.统治;统治时期,v.统治
rein,n.缰绳,v.控制
reincarnate,v.转世;化身
reincarnation,n.转世;化身
reinforce,v.加强;加固
reinforcement,n.加强;加固
reins,n.缰绳;控制
reiterate,v.重申;反复
reject,v.拒绝;排斥
rejected,adj.被拒绝的;被抛弃的
rejection,n.拒绝;排斥
rejoice,v.高兴;庆祝
rejoicing,n.欢乐;庆祝
rejoin,v.重新加入;回答
rejoinder,n.反驳;回答
relate,v.使关联;叙述
relation,n.关系;叙述
relationship,n.关系;关联
relative,adj.相对的,n.亲戚
relativity,n.相对性;相对论
relax,v.放松;放宽
relaxation,n.放松;休息
relay,n.中继;接力,v.转送
release,v.释放;发布
reliability,n.可靠性;可信赖
reliable,adj.可靠的;可信赖的
reliance,n.信赖;信任
reliant,adj.依赖的;信任的
relief,n.减轻;浮雕
relieve,v.减轻;解除
religion,n.宗教;宗教信仰
religious,adj.宗教的;虔诚的
reluctance,n.不愿;犹豫
reluctant,adj.不愿的;勉强的
rely,v.依赖;依靠
remain,v.保持;留下
remainder,n.剩余物;余数
remaining,adj.剩下的;其余的
remains,n.遗址;遗骸
remake,v.改造;重做
remand,n.还押候审
remark,n.评论,v.评论
remarkable,adj.显著的;异常的
remedy,n.补救;药品,v.补救
remember,v.记得;记住
remembrance,n.记忆;回忆
remind,v.提醒;使想起
reminder,n.提醒者;提醒物
reminisce,v.回忆;怀旧
reminiscent,adj.回忆的;怀旧的
remission,n.宽恕;赦免
remit,v.汇款;免除
remittance,n.汇款;汇付
remnant,n.残余;剩余
remodel,v.改造;改型
remorse,n.懊悔;同情
remorseful,adj.后悔的;悔恨的
remote,adj.遥远的;疏远的
remoteness,n.遥远;偏僻
removal,n.移开;移除
remove,v.移开;脱掉
removes,n.距离;移除
renaissance,n.复兴;文艺复兴
render,v.使成为;提供
rendering,n.表演;翻译
rendezvous,n.约会;集合点
rendition,n.表演;翻译
renegade,n.叛徒;背教者
renege,v.背信;违约
renew,v.使更新;续期
renewal,n.更新;续新
renovate,v.翻新;更新
renovation,n.翻新;更新
renovator,n.革新者;修复者
rent,n.租金,v.出租
rental,n.租赁;出租
reopen,v.重开;再打开
reorganization,n.重组;重建
reorganize,v.重组;重建
rep,n.代表;代理人
repair,n.修理,v.修理
repairman,n.修理工;技工
reparation,n.赔偿;修理
repay,v.偿还;报答
repayment,n.偿还;报答
repeal,v.撤销;废除
repeat,v.重复;重做
repeated,adj.重复的;再发生的
repel,v.击退;排斥
repellent,n.驱虫剂;排斥者
repent,v.悔改;后悔
repentance,n.悔改;后悔
repentant,adj.悔改的;后悔的
repercussion,n.反响;影响
repertoire,n.全部剧目;节目单
repertory,n.仓库;剧目
repetition,n.重复;反复
replace,v.替换;代替
replacement,n.替换;代替
replenish,v.补充;重新装满
replenishment,n.补充;重新装满
replete,adj.充满的;装满的
replica,n.复制品;仿制品
replicate,v.复制;重复
replication,n.复制;重复
reply,v./n.回答;答复
report,n.报告;报道,v.报告
reportedly,adv.据报道;据传闻
reporter,n.报告人;记者
repose,v.休息;放置
reposition,v.重新定位
repository,n.仓库;存放处
represent,v.代表;象征
representation,n.代表;表示
representative,adj.代表性的,n.代表
repress,v.镇压;抑制
repression,n.镇压;抑制
repressive,adj.压制的;抑制的
reprisal,n.报复;回击
reproach,n.责备;耻辱
reproachful,adj.感到耻辱的;责难的
reproduce,v.繁殖;复制
reproduction,n.繁殖;复制
reptile,n.爬行动物;爬虫
republic,n.共和国;共和政体
republican,adj.共和的,n.共和党人
repudiate,v.抛弃;拒绝接受
repudiation,n.抛弃;拒绝接受
repugnant,adj.令人厌恶的;矛盾的
repulse,v.击退;使厌恶
repulsion,n.击退;厌恶
repulsive,adj.令人厌恶的;排斥的
repurchase,v.重新购买;买回
reputable,adj.有名的;值得尊敬的
reputation,n.名誉;名声
repute,n.名气;声誉
request,n./v.请求;需要
requested,adj.被请求的;要求的
require,v.需要;要求
requirement,n.要求;必要条件
requisite,adj.必要的,n.必需品
requisition,n.征用;要求
reread,v.再读;重读
rescue,n./v.营救;救援
research,n.研究,v.研究
researcher,n.研究者;调查员
resemblance,n.相似;相似之处
resemble,v.类似;像
resent,v.怨恨;愤恨
resentful,adj.怨恨的;愤慨的
resentment,n.怨恨;愤恨
reservation,n.保留;预约
reserve,n.储备,v.保留
reserved,adj.保留的;缄默的
reservist,n.后备役军人
reservoir,n.蓄水池;水库
reset,v.重新设定
reside,v.居住;属于
residence,n.居住;驻扎
residency,n.居住;居住期
resident,n.居民,adj.居住的
residential,adj.居住的;住宅的
residual,adj.剩余的;残留的
residue,n.残渣;剩余
resign,v.辞职;顺从
resignation,n.辞职;放弃
resigned,adj.逆来顺受的;已辞职的
resilience,n.弹性;恢复力
resilient,adj.有弹性的;能恢复的
resin,n.树脂;松香
resist,v.抵抗;反对
resistance,n.抵抗;抵抗力
resistant,adj.抵抗的;有抵抗力的
resolute,adj.坚决的;果断的
resolution,n.坚决;决议
resolve,v.解决;决心
resonance,n.共振;共鸣
resonant,adj.共振的;回响的
resort,n.度假胜地,v.求助
resound,v.回响;回荡
resounding,adj.响亮的;深刻的
resource,n.资源;手段
resourceful,adj.资源丰富的;足智多谋的
respect,n./v.尊敬;尊重
respectable,adj.值得尊敬的;体面的
respectful,adj.恭敬的;尊重的
respective,adj.分别的;各自的
respectively,adv.分别地;各自地
respiration,n.呼吸;呼气
respirator,n.呼吸器;防毒面具
respite,n.休息;暂缓
respond,v.回答;反应
response,n.回答;反应
responsibility,n.责任;职责
responsible,adj.有责任的;负责的
rest,n.休息,v.休息
restless,adj.不安的;不静止的
restoration,n.恢复;修复
restore,v.恢复;修复
restrain,v.抑制;限制
restrained,adj.抑制的;克制的
restraint,n.抑制;限制
restrict,v.限制;束缚
restriction,n.限制;束缚
restrictive,adj.限制的;限制性的
result,n.结果,v.结果
resultant,adj.作为结果的;产生的
resume,v.继续;重新开始
resumption,n.继续;重新开始
resurrect,v.复活;复兴
resurrection,n.复活;复兴
resuscitate,v.使复活;复苏
retail,n.零售,v.零售
retailer,n.零售商
retain,v.保持;保留
retainer,n.保持者;雇员
retaliate,v.报复;反击
retaliation,n.报复;反击
retard,v.延迟;阻碍
retarded,adj.被延迟的;智力迟钝的
retch,n.哽咽;恶心,v.哽咽
retention,n.保留;保持
retentive,adj.保持的;有记忆力的
reticent,adj.沉默的;有保留的
retinue,n.随从;侍从
retract,v.缩回;收回
retraction,n.缩回;收回
retreat,n.撤退,v.撤退
retrench,v.削减;紧缩
retrenchment,n.削减;紧缩
retrial,n.再审;复审
retribution,n.报应;惩罚
retrieval,n.取回;检索
retrieve,v.取回;检索
retrospect,n.回顾
retrospective,adj.回顾的;怀旧的
return,n.归还,v.返回
reunion,n.团聚;再联合
reveal,v.显示;揭露
revealing,adj.揭示的;暴露的
revelation,n.揭露;启示
revenge,n.报仇;复仇
revenue,n.收入;税收
reverberate,v.回响;反响
reverberation,n.回响;反响
revere,v.尊敬;崇敬
reverence,n.尊敬;崇敬
reverend,n.尊敬的;教区牧师
reverent,adj.尊敬的;崇敬的
reverie,n.幻想;梦想
reversal,n.颠倒;反转
reverse,n.反面,v.反转
reversion,n.恢复;转回
revert,v.恢复原状;重新考虑
review,n.复习,v.复习
reviewer,n.评论者;审查者
revise,v.修订;修改
revision,n.修订;修改
revival,n.复兴;复活
revive,v.苏醒;复兴
revoke,v.撤销;废除
revolt,n./v.叛乱;反抗
revolting,adj.令人厌恶的;叛乱的
revolution,n.革命;旋转
revolutionary,adj.革命的,n.革命者
revolutionize,v.革命化;彻底改革
revolve,v.旋转;演变
revolver,n.左轮手枪;旋转者
revulsion,n.强烈反感;厌恶
reward,n.报酬,v.奖励
rewarding,adj.有益的;值得的
reword,v.重述;改写
rework,v.重做;重新加工
rhetoric,n.修辞;修辞学
rhetorical,adj.修辞的;修辞学的
rhyme,n.韵;押韵,v.押韵
rhythm,n.节奏;韵律
rib,n.肋骨;肋状物
ribbon,n.丝带;带
rice,n.稻米;米饭
rich,adj.富有的;肥沃的
rid,v.使摆脱;消除
riddance,n.摆脱;消除
riddle,n.谜;谜语,v.使困惑
ride,v.骑;乘车,n.乘车
rider,n.骑手;驾驭者
ridge,n.岭;脊
ridicule,n.嘲笑,v.嘲笑
ridiculous,adj.荒谬的;可笑的
rife,adj.流行的;普遍的
riff,n.裂缝;冲突
rifle,n.步枪;来复枪,v.搜查
rift,n.裂缝;冲突
rig,n.钻井平台;装备
rigged,adj.有装备的;被操纵的
right,adj.正确的,n.权利
righteous,adj.正直的;正当的
rightful,adj.合法的;正当的
rigid,adj.刚硬的;僵硬的
rigidity,n.刚硬;僵硬
rigor,n.严格;严厉
rigorous,adj.严格的;彻底的
rim,n.边缘;边
ring,n.戒指,v.打电话
riot,n.暴乱;骚动
rip,v.撕破,n.裂口
ripe,adj.熟的;成熟的
ripen,v.成熟;变熟
ripple,n.波纹;涟漪,v.起涟漪
rise,n.上升,v.上升
risk,n.风险,v.冒...的危险
risky,adj.冒险的;危险的
rite,n.仪式;礼节
ritual,adj.仪式的,n.仪式
rival,n.对手;竞争者
rivalry,n.竞争;对抗
river,n.河;江
rivulet,n.小河;小溪
road,n.路;道路
roam,v.漫游;流浪
roar,v.吼叫;轰鸣
roast,v.烤,n.烤肉
rob,v.抢劫;剥夺
robbery,n.抢劫;盗窃
robe,n.长袍;礼服
robot,n.机器人;自动机
robust,adj.强健的;健康的
rock,n.岩石;摇滚乐,v.摇动
rocket,n.火箭,v.急升
rod,n.杆;棍
role,n.角色;任务
roll,n.卷;名单,v.滚动
roller,n.滚筒;滚轴
romance,n.传奇;浪漫
romantic,adj.浪漫的;传奇的
romp,v.奔跑;嬉戏
roof,n.屋顶;顶部
rooster,n.公鸡
root,n.根;根源,v.生根
rope,n.绳;绳索
rose,n.玫瑰;粉红色
rotate,v.旋转;轮流
rotten,adj.腐烂的;糟糕的
rotund,adj.圆润的;洪亮的
rough,adj.粗糙的;大致的
round,adj.圆的,adv.周围
roundabout,adj.间接的,n.旋转木马
rouse,v.唤醒;激起
royalty,n.王族;版税
rub,v.擦;摩擦
rubber,n.橡皮;橡胶
rubbish,n.垃圾;废话
rubble,n.碎石;瓦砾
ruby,n.红宝石;红宝石色
rudder,n.舵;方向舵
rude,adj.粗鲁的;无理的
rue,n.芸香;后悔,v.后悔
ruffle,v.弄皱;激怒
rug,n.小地毯;垫子
ruin,n.废墟,v.毁灭
ruination,n.毁灭;破产
rule,n.规则,v.统治
ruler,n.统治者;尺
rum,n.朗姆酒;传闻
rumor,n.谣言;传闻
rumour,n.谣言;传闻
rump,n.臀部;后部
rung,n.横档;梯级
rupture,n.破裂;疝气,v.破裂
rural,adj.农村的;田园的
ruse,n.诡计;欺骗
rush,v.冲;匆忙,n.冲
rust,n.锈,v.生锈
rustic,adj.乡村的;质朴的
rustle,n.沙沙声,v.发出沙沙声
rut,n.车辙;常规
ruthless,adj.无情的;冷酷的
sabotage,n.破坏;颠覆活动
sack,n.麻袋;解雇,v.解雇
sacrifice,n.牺牲,v.牺牲
sacred,adj.神圣的;宗教的
sacrifice,v.牺牲;献祭
sad,adj.悲哀的;难过的
sadden,v.使悲伤;使悲哀
saddle,n.鞍;马鞍
safe,adj.安全的,n.保险箱
safety,n.安全;保险
sail,n.帆,v.航行
sailor,n.水手;海员
saint,n.圣人;道德崇高的人
sake,n.缘故;目的
salad,n.色拉;沙拉
salmon,n.鲑鱼;鲑鱼肉
salon,n.沙龙;客厅
salt,n.盐,v.腌制
salty,adj.咸的;含盐的
salute,n./,v.敬礼;赞扬
salvation,n.拯救;救助
same,adj.相同的,pron.相同的
sample,n.样品;样本,v.尝试
sand,n.沙;沙子
sandwich,n.三明治,v.夹入
sandy,adj.含沙的;沙的
sane,adj.神智健全的;明智的
sanguine,adj.乐观的;血红色的
sanitary,adj.卫生的;清洁的
sanitation,n.卫生;下水道系统
sap,n.树液;活力,v.消耗
sapiens,n.智人;现代人
sarcasm,n.讽刺;嘲笑
sardonic,adj.讽刺的;嘲笑的
sash,n.腰带;腰包
sat,n.酢;丰富,adj.丰富的
satan,n.撒旦;魔鬼
sate,v.使饱;使厌腻
satellite,n.卫星;人造卫星
satire,n.讽刺;讽刺文学
satisfaction,n.满足;满意
satisfactory,adj.满意的;合意的
saturate,v.浸透;使饱和
saturation,n.饱和;饱和度
sauce,n.酱油;调味汁
saucepan,n.煮菜锅;深锅
saucer,n.茶托;圆盘
saucy,adj.俏皮的;无礼的
sauerkraut,n.泡菜;德国泡菜
sausage,n.香肠;腊肠
savage,adj.野蛮的,n.野蛮人
savannah,n.大草原;热带草原
save,v.救;节省
savings,n.存款;储蓄
savor,n.风味;味道,v.品尝
savory,adj.风味的;可口的
savour,n.风味;味道,v.品尝
saw,n.锯子,v.锯
saxophone,n.萨克斯管
say,v.说;表示
sayings,n.言论;格言
scab,n.痂;疤
scaffold,n.脚手架;绞刑台
scale,n.鳞;天平,v.攀登
scallop,n.扇贝;干贝
scalpel,n.外科手术刀
scamp,n.露营;简陋的小屋
scan,v.扫描;浏览
scandal,n.丑闻;诽谤
scandalize,v.使愤慨;使震惊
scant,adj.不足的,v.节省
scar,n.疤;创伤,v.留下伤痕
scarce,adj.缺乏的;稀有的
scarcely,adv.几乎不;简直不
scare,n.惊恐,v.使害怕
scarf,n.围巾;头巾
scarlet,adj.猩红的,n.猩红色
scatter,v.分散;散播
scene,n.场景;景色
scenery,n.风景;舞台布景
scent,n.气味;嗅觉
schedule,n.时间表,v.安排
schema,n.计划;模式
schematic,adj.计划的;图表的
scheme,n.计划;阴谋
scholar,n.学者;奖学金获得者
scholarship,n.奖学金;学问
school,n.学校;学科
science,n.科学;学科
scientific,adj.科学的
scientist,n.科学家
scissors,n.剪刀;剪子
scoff,v.嘲笑;蔑视
scold,v.责骂;训斥
scorch,v.烧焦;烤焦
scorn,n.轻蔑;鄙视
scorpion,n.蝎子;蝎
scotch,n./adj.苏格兰（人）的
scoundrel,n.恶棍;无赖
scour,v.擦洗;搜索
scourge,n.灾难;鞭子
scout,n.侦察员;侦察
scowl,v.皱眉;愁眉苦脸
scramble,v.攀登;争夺
scrap,n.碎片;废料
scratch,v.抓;刮擦
scream,n.尖叫声,v.尖叫
screech,v.尖叫;发出尖锐声
screen,n.屏幕;屏风,v.掩蔽
screw,n.螺旋;螺丝,v.拧紧
screwdriver,n.螺丝刀;改锥
scribble,v.乱写;涂鸦
script,n.脚本;手稿
scroll,n.卷轴;卷形物
scrub,v.擦洗;灌木丛
scruffy,adj.肮脏的;不整洁的
scruple,n.顾忌;犹豫
scrupulous,adj.细心的;谨慎的
scrutinize,v.仔细检查;细读
scrutiny,n.详细审查;仔细
sculpture,n.雕塑;雕刻,v.雕塑
sculptural,adj.雕刻的;雕塑的
sculptured,adj.雕刻的;雕塑的
scurry,v.急跑;疾走
scurvy,adj.坏血的;不礼貌的
scuttle,v.急走;急跑
seabed,n.海床;海底
seafood,n.海鲜;海产食品
seagull,n.海鸥
seal,n.海豹,v.封上
seam,n.缝;接缝
seaman,n.水手;海员
seamless,adj.无缝的;无接缝的
seaport,n.港口;海港
sear,n.烧灼;焦土,v.烧灼
search,n./v.搜索;搜寻
searchlight,n.探照灯;搜索灯
seaside,n.海滨;海边
season,n.季节,v.加味
seasoning,n.调味品;佐料
seat,n.座位;席位,v.使坐下
secede,v.脱离;退出
secession,n.脱离;退出
second,n.第二;秒
secondary,adj.第二的;次要的
secondhand,adj.二手的
secret,adj.秘密的,n.秘密
secretariat,n.秘书处;书记处
secrete,v.分泌;隐藏
secretion,n.分泌;分泌物
secretly,adv.秘密地;背地里
sect,n.教派;部门
section,n.段;部分
sector,n.扇形;部门
secular,adj.世俗的;长期的
secure,adj.安全的,v.保护
security,n.安全;保障
sedate,adj.安静的;稳重的
sedative,adj.镇静的,n.镇静剂
sediment,n.沉淀物;沉积
sedition,n.煽动;暴乱
seditious,adj.煽动性的;叛逆的
seduce,v.勾引;诱惑
seduction,n.勾引;诱惑
seductive,adj.诱惑的;有魅力的
see,v.看见;理解
seed,n.种子,v.播种
seedling,n.幼苗;秧苗
seek,v.寻找;寻求
seem,v.似乎;好像
seemingly,adv.看来;看来是
seen,v.被看见
segment,n.段;部分
segregate,v.隔离;分离
segregated,adj.隔离的
segregation,n.隔离;分离
seismic,adj.地震的;地震引起的
seldom,adv.很少;难得
select,v.选择,adj.精选的
selection,n.选择;挑选
selective,adj.选择的;挑剔的
selector,n.选择器;选择者
selenium,n.硒
self,n.自己;自我
selfish,adj.自私的
selfishness,n.自私
sell,v.卖;销售
semantic,adj.语义的;语义学的
semblance,n.相似;外观
semen,n.精液;精子
semiconductor,n.半导体
seminal,adj.种子的;重大的
seminar,n.研讨会;讨论会
seminary,n.神学院;学院
senate,n.参议院;上院
senator,n.参议员
send,v.送;派遣
senile,adj.年老的;衰老的
senility,n.衰老;老迈
senior,adj.年长的,n.上司
sensation,n.感觉;轰动
sensational,adj.轰动的;耸人听闻的
sense,n.感觉,v.理解
senseless,adj.无感觉的;无意识的
sensible,adj.明智的;可感觉到的
sensitive,adj.敏感的;易受伤害的
sensitivity,n.敏感性;灵敏性
sensor,n.传感器;感应器
sensory,adj.感官的;感觉的
sensual,adj.感官的;肉欲的
sentiment,n.感情;情绪
sentimental,adj.感情的;多愁善感的
sentinel,n.哨兵;警戒者
separable,adj.可分离的
separate,adj.单独的,v.分开
separation,n.分离;分开
separatist,n.分离主义者
September,n.九月
sequel,n.结局;续集
sequence,n.顺序;连续
sequent,adj.随后的;后来的
sequential,adj.连续的;一连串的
sequester,v.隐退;使隐退
sequestration,n.隐退;没收
serene,adj.宁静的;安详的
serenity,n.宁静;安详
sergeant,n.军士;警官
serial,adj.连续的,n.连载
series,n.系列;级数
serif,n.衬线;印刷字体
serifed,adj.有衬线的
serious,adj.严肃的;严重的
seriousness,n.严肃;严重性
sermon,n.布道;讲道
serpent,n.蛇;狡猾的人
serrate,adj.锯齿状的
servant,n.仆人;雇员
serve,v.服务;服役
service,n.服务;服役
serviceable,adj.有用的;耐用的
servile,adj.奴隶的;谄媚的
servitude,n.奴役;奴役状态
session,n.会议;开庭期
set,n.集合,v.放置
setback,n.挫折;倒退
setting,n.环境;安装
settle,v.安置;解决
settlement,n.解决;殖民
settler,n.移民;殖民者
sever,v.切断;脱离
several,adj.几个;各自的
severe,adj.严重的;严厉的
severity,n.严肃;严重性
sew,v.缝制;缝
sewage,n.污水;下水道
sewer,n.下水道;阴沟
sex,n.性别;性
sexual,adj.性的;性别的
shabby,adj.破旧的;卑鄙的
shack,n.简陋的小屋
shackle,n.枷锁;束缚
shade,n.荫;阴影
shading,n.遮蔽;阴影
shadow,n.阴影;影子,v.跟踪
shadowy,adj.阴暗的;多阴影的
shady,adj.成荫的;可疑的
shaft,n.轴;矛
shag,n.粗糙的毛发
shaggy,adj.毛发粗浓的;蓬松的
shake,v.摇动;震动
shaky,adj.不稳定的;不可靠的
shall,aux.将要;必须
shallow,adj.浅的;浅薄的
sham,n.假冒;虚假
shambles,n.混乱;废墟
shame,n.羞耻;羞愧
shameful,adj.可耻的;羞耻的
shampoo,n.洗发剂,v.洗发
shanghai,v.欺骗;诱拐
shape,n.形状,v.形成
shapeless,adj.无形状的;无定形的
share,n.份额,v.分享
shareholder,n.股东
shark,n.鲨鱼
sharp,adj.锋利的;敏锐的
sharpen,v.削尖;变锋利
shatter,v.打碎;破坏
shattered,adj.破碎的;被破坏的
shave,v.剃须;剃毛
shaven,n.避难所,v.避难
shawl,n.披肩;围巾
she,pron.她
shear,v.剪;剪切
shears,n.大剪刀
sheath,n.鞘;套
shed,n.棚;脱落,v.脱落
sheen,n.光辉;光泽
sheep,n.羊;绵羊
sheer,adj.纯粹的;绝对的
sheet,n.被单;薄片
shelf,n.架子;搁板
shell,n.壳;贝壳
shelter,n.掩蔽;避难所,v.掩蔽
sheltered,adj.掩蔽的;受保护的
shelve,v.搁置;放置
shelf,n.架子;搁板
shelves,n.架子;搁板
shelter,n.掩蔽;避难所,v.掩蔽
shepherd,n.牧羊人;牧羊者
sheriff,n.郡长;治安官
shied,v.躲避;遮避
shift,v.转移;变换
shifty,adj.变幻的;狡猾的
shilling,n.先令（旧时英国货币）
shimmer,v.发微光;闪烁
shimmering,adj.闪烁的;闪亮的
shine,v.发光;擦亮
shiny,adj.发亮的;有光泽的
ship,n.船,v.装运
shipment,n.装运;装载
shipping,n.装货;船运
shipwreck,n.船只失事
shipyard,n.造船厂;船坞
shire,n.郡
shirk,v.逃避;规避
shirt,n.衬衫
shiver,n.颤抖;碎片,v.颤抖
shock,n.冲击;震惊,v.使休克
shocked,adj.震惊的;吃惊的
shocking,adj.令人震惊的
shod,v.给...穿上鞋
shoe,n.鞋
shoemaker,n.鞋匠;鞋制造者
shoot,v.射击;发芽
shop,n.商店,v.逛商店
shopkeeper,n.店主;店主人
shopping,n.购物
shore,n.岸;滨
short,adj.短的;缺乏的
shortage,n.不足;缺少
shortcoming,n.缺点;短处
shortcut,n.近路;捷径
shorten,v.缩短;变短
shortly,adv.不久;立刻
shot,n.射击;射门
should,aux.应该;将要
shoulder,n.肩;肩部
shout,v.呼喊;喊叫
shove,v.推;挤
shovel,n.铲;铁铲
show,n.显示,v.展示
shower,n.阵雨;淋浴
showing,n.显示;展示
shred,n.碎片;少量
shrewd,adj.精明的;狡猾的
shriek,n.尖叫声,v.尖叫
shrill,adj.尖锐的;刺耳的
shrimp,n.虾;小虾
shrine,n.神龛;圣地
shrink,v.收缩;缩小
shrinkage,n.收缩;减少
shrivel,v.萎缩;枯萎
shrub,n.灌木;灌木丛
shrug,v./n.耸肩
shudder,n.战栗;发抖
shuffle,v.拖步走;洗牌
shun,v.避开;避免
shut,v.关闭;停业
shutdown,n.关闭;停工
shutter,n.百叶窗;快门
shuttle,n.梭子;航天飞机,v.穿梭
shy,adj.害羞的;羞怯的
shyness,n.害羞;羞怯
sibyl,n.女预言家;女先知
sick,adj.有病的;恶心的
sicken,v.使生病;使厌恶
sickening,adj.令人厌恶的;令人恶心的
sickle,n.镰刀;新月形
sickness,n.疾病;恶心
side,n.边;方面
sidewalk,n.人行道
sideways,adv.斜着;向一边
siege,n.围攻;包围
sieve,n.筛子;筛
sift,v.筛;过滤
sigh,n.叹息;叹气,v.叹息
sight,n.视力;景象
sightseeing,n.观光;游览
sign,n.符号,v.签字
signal,n.信号,v.发信号
signature,n.签名;署名
significance,n.意义;重要性
significant,adj.重要的;显著的
signify,v.表示;意味
silence,n.沉默;寂静
silent,adj.沉默的;无声的
silently,adv.沉默地;安静地
silhouette,n.轮廓;剪影
silicon,n.硅;硅元素
silk,n.丝绸;丝
silken,adj.丝的;柔软的
silly,adj.愚蠢的;荒谬的
silver,n.银;银子
silverware,n.银器;餐具
similar,adj.类似的;相同的
similarity,n.相似;类似
simile,n.明喻;比拟
simmer,v.炖;煨
simple,adj.简单的;朴素的
simplicity,n.简单;朴素
simplify,v.简化;简化
simply,adv.简单地;仅仅
simulate,v.模仿;模拟
simulated,adj.模拟的;假装的
simulation,n.模拟;模仿
simultaneous,adj.同时的;联立的
sin,n.罪;罪恶
since,adv.从那时以来,prep.从
sincere,adj.真诚的;真挚的
sincerely,adv.真诚地;真挚地
sincerity,n.真诚;真挚
sinful,adj.有罪的;罪恶的
sing,v.唱;歌唱
singer,n.歌手;歌唱家
single,adj.单一的,n.一个
singly,adv.单独地;各自地
singsong,n.轻快地唱歌;悦耳的声音
singular,adj.单一的;非凡的
sinister,adj.邪恶的;不祥的
sinuous,adj.蜿蜒的;迂回的
sip,v.啜饮;尝,n.一小口
sir,n.先生;阁下
sire,n.君主;统治者
siren,n.汽笛;妖妇
sister,n.姐妹
sit,v.坐;位于
site,n.地点;位置
sitting,n.会议;座位
sitter,n.临时保姆;模特儿
sitting,room,客厅
situated,adj.位于...的
situation,n.情况;位置
six,num.六
sixteen,num.十六
sixth,num.第六
size,n.尺寸;大小
skate,n.冰鞋,v.滑冰
sketch,n.素描;草图,v.素描
skew,adj.斜的,v.使偏斜
skewer,n.串肉扦,v.串肉
ski,n.滑雪,v.滑雪
skid,v.滑倒,n.滑倒
skill,n.技能;技巧
skilled,adj.熟练的;有技能的
skillful,adj.熟练的;灵巧的
skim,v.撇去;掠过
skimp,v.节省;吝啬
skin,n.皮;皮肤,v.剥皮
skinny,adj.皮包骨的;瘦的
skip,v.跳;跳绳
skirmish,n.小战;小争吵
skirt,n.裙子,v.绕过
skullduggery,n.欺骗;不正当手段
skull,n.头盖骨;骷髅
skunk,n.臭鼬;黄鼠狼
sky,n.天;天空
skyscraper,n.摩天楼
slab,n.石板;厚板
