word,phonetic,definition,example
attribute,动态发音,v. 把……归因于；认为是……所作；认为……具有某种特质; n. 属性，特质；标志，象征；定语,The scholarly paper illustrates the significant impact of attribute in the empirical study.
authority,动态发音,n. 专家，权威人士；行政管理机构；权利，权限；权威，威信；许可，授权；当局，官方,The scholarly paper illustrates the significant impact of authority in the empirical study.
bias,动态发音,n. 偏见，成见；偏好，天赋；倾向，趋势；斜纹；（统计）偏差，偏倚；偏重心球形；偏压，偏统; v. ...,The scholarly paper illustrates the significant impact of bias in the empirical study.
boom,动态发音,n. 繁荣；流行，风靡；隆隆声；吊杆；帆桁；水栅; v. 迅速发展，繁荣；轰鸣，轰响；用低沉的声音说...,The scholarly paper illustrates the significant impact of boom in the empirical study.
boundary,动态发音,n. 分界线，边界；界限，范围；（板球）击球超过边界线得分,The scholarly paper illustrates the significant impact of boundary in the empirical study.
bureaucracy,动态发音,n. 官僚制度，官僚机构，官僚作风；官僚，政府官员,The scholarly paper illustrates the significant impact of bureaucracy in the empirical study.
campaign,动态发音,n. （有计划的）活动，运动；战役，战斗; v. 领导（参加）运动，从事竞选活动,The scholarly paper illustrates the significant impact of campaign in the empirical study.
casual,动态发音,adj. 休闲的，便装的；随便的，非正式的；漫不经心的，随意的；临时的，短期的；碰巧的，偶然的；不认...,The scholarly paper illustrates the significant impact of casual in the empirical study.
category,动态发音,n. 种类，范畴,The scholarly paper illustrates the significant impact of category in the empirical study.
chaos,动态发音,n. 混乱，无秩序状态；混沌; 【名】 （Chaos）（西）查奥斯（人名）,The scholarly paper illustrates the significant impact of chaos in the empirical study.
chronic,动态发音,adj. （疾病）慢性的，长期的；（问题）一直有的，反复出现的；难以根除的，积习难改的；<英，非正式...,The scholarly paper illustrates the significant impact of chronic in the empirical study.
circumstance,动态发音,n. 条件，情况，环境；境况，经济状况；详情，原委；命运，境遇; v. 处于某种情况,The scholarly paper illustrates the significant impact of circumstance in the empirical study.
collaborate,动态发音,v. 合作，协作；勾结，通敌,The scholarly paper illustrates the significant impact of collaborate in the empirical study.
combat,动态发音,n. 战斗，搏斗；争论，反对; v. 与……作斗争；防止，减轻; adj. 战斗的；为……斗争的; ...,The scholarly paper illustrates the significant impact of combat in the empirical study.
commit,动态发音,v. 犯（罪、错）；调拨，投入；（使）承诺，承担义务；郑重承诺，忠于；把……关进医院（监狱），监禁；...,The scholarly paper illustrates the significant impact of commit in the empirical study.
compensate,动态发音,v. 赔偿，偿付；弥补，补偿；抵消；酬报（某人）,The scholarly paper illustrates the significant impact of compensate in the empirical study.
comply,动态发音,v. 遵从，服从；（商品）符合特定标准,The scholarly paper illustrates the significant impact of comply in the empirical study.
compulsory,动态发音,adj. 必须做的，义务的，强制的; n. （花样滑冰、竞技体操等的）规定动作,The scholarly paper illustrates the significant impact of compulsory in the empirical study.
conceal,动态发音,v. 隐匿，隐藏；隐瞒（真实感情或真相）；遮盖，遮住,The scholarly paper illustrates the significant impact of conceal in the empirical study.
concede,动态发音,v. （通常指不情愿地）承认；认（输），承认（失败）；授予，让与；让对手得分,The scholarly paper illustrates the significant impact of concede in the empirical study.
concrete,动态发音,adj. 确实的，具体的；实在的，有形的；混凝土的；物质的; n. 混凝土; v. 用混凝土覆盖（或...,The scholarly paper illustrates the significant impact of concrete in the empirical study.
conflict,动态发音,n. 争执，争论，分歧；战斗，战争；抵触，矛盾; v. 冲突，抵触,The scholarly paper illustrates the significant impact of conflict in the empirical study.
confer,动态发音,v. 授予，赋予；商讨，交换意见; 【名】 （Confer）（英）康弗 （人名）,The scholarly paper illustrates the significant impact of confer in the empirical study.
consensus,动态发音,n. 一致看法，共识,The scholarly paper illustrates the significant impact of consensus in the empirical study.
consequence,动态发音,n. 结果，后果；重要性，价值,The scholarly paper illustrates the significant impact of consequence in the empirical study.
conserve,动态发音,v. 保护，保存；节省，节约；使（量，如能量、质量）守恒；将……制成蜜饯; n. 蜜饯，果脯,The scholarly paper illustrates the significant impact of conserve in the empirical study.
conspicuous,动态发音,adj. 出色的，引人注目的；显眼的，明显的,The scholarly paper illustrates the significant impact of conspicuous in the empirical study.
constitute,动态发音,v. 组成，构成；是，被视为；成立，设立；任命,The scholarly paper illustrates the significant impact of constitute in the empirical study.
consume,动态发音,v. 消耗，消费；吃，喝；吞噬，烧毁；使……着迷，充满,The scholarly paper illustrates the significant impact of consume in the empirical study.
contend,动态发音,v. 声称，主张；竞争，争夺；处理，对付,The scholarly paper illustrates the significant impact of contend in the empirical study.
contradict,动态发音,v. 反驳，否认；相抵触，相矛盾；发生矛盾,The scholarly paper illustrates the significant impact of contradict in the empirical study.
contribute,动态发音,v. 捐赠，捐助；（为……）做贡献；促成，是……的原因之一；撰稿，投稿；发表意见，提议,The scholarly paper illustrates the significant impact of contribute in the empirical study.
controversy,动态发音,n. 争论，争议,The scholarly paper illustrates the significant impact of controversy in the empirical study.
convey,动态发音,v. 传送，运输；表达，传递；<法律>转让（土地、财产等）,The scholarly paper illustrates the significant impact of convey in the empirical study.
cope,动态发音,v. 对付，处理; n. 长袍，法衣; 【名】 （Cope）（英）科普，（西）科佩（人名）,The scholarly paper illustrates the significant impact of cope in the empirical study.
correlate,动态发音,v. 相互关联；显示紧密联系; n. 相关的事物,The scholarly paper illustrates the significant impact of correlate in the empirical study.
counterpart,动态发音,n. 对应的人（或事物）；（法律文件的）副本,The scholarly paper illustrates the significant impact of counterpart in the empirical study.
critical,动态发音,adj. 批判的，爱挑剔的；极其重要的，关键的；严重的，危急的；病重的，重伤的；评论性的，评论家的；...,The scholarly paper illustrates the significant impact of critical in the empirical study.
crucial,动态发音,adj. 至关重要的，决定性的；<非正式>极好的,The scholarly paper illustrates the significant impact of crucial in the empirical study.
cultivate,动态发音,v. 开垦，耕作；栽培，培育；陶冶，培养；建立（友谊），结交,The scholarly paper illustrates the significant impact of cultivate in the empirical study.
cynical,动态发音,adj. 认为人皆自私的，愤世嫉俗的；悲观的，怀疑的；损人利己的；轻蔑的，嘲笑的,The scholarly paper illustrates the significant impact of cynical in the empirical study.
decline,动态发音,v. 下降，衰退；拒绝，谢绝；变格，词形变化; n. 减少，衰退,The scholarly paper illustrates the significant impact of decline in the empirical study.
dedicate,动态发音,v. 致力于，献身于；把（书、戏剧、音乐作品等）献给；为（建筑物或教堂）举行奉献（或落成）典礼,The scholarly paper illustrates the significant impact of dedicate in the empirical study.
deficit,动态发音,n. 亏损，赤字，不足额；（体育用语）失分数；缺乏，缺陷,The scholarly paper illustrates the significant impact of deficit in the empirical study.
defy,动态发音,v. 违抗，不服从；挑战，激；无法，难以（描述或理解）；经受住，顶住,The scholarly paper illustrates the significant impact of defy in the empirical study.
degenerate,动态发音,v. 恶化，堕落，退化; adj. 衰退的，堕落的；退化的; n. 堕落的人，颓废的人,The scholarly paper illustrates the significant impact of degenerate in the empirical study.
deliberate,动态发音,adj. 故意的，蓄意的；从容的，小心翼翼的；深思熟虑的; v. 仔细考虑，认真商讨,The scholarly paper illustrates the significant impact of deliberate in the empirical study.
demonstrate,动态发音,v. 证明；示范，演示；表露；游行，示威,The scholarly paper illustrates the significant impact of demonstrate in the empirical study.
deny,动态发音,v. 否认；拒绝承认；拒绝给予,The scholarly paper illustrates the significant impact of deny in the empirical study.
deprive,动态发音,v. 剥夺，使丧失；免去……的职务（尤指圣职）,The scholarly paper illustrates the significant impact of deprive in the empirical study.
derive,动态发音,v. 获得，取得；起源于，来自；提取，衍生（化学物质）; 【名】 （Derive）（法）德里夫（人名...,The scholarly paper illustrates the significant impact of derive in the empirical study.
descend,动态发音,v. 下来，下降；下倾，下斜；降临，来临；（情绪、气氛等）笼罩；突然到来，突然造访；降低身份，堕落；...,The scholarly paper illustrates the significant impact of descend in the empirical study.
deserve,动态发音,v. 值得，应受,The scholarly paper illustrates the significant impact of deserve in the empirical study.
designate,动态发音,v. 把……定名为，把……描述为；任命，指定；标明，标示; adj. 已当选而尚未上任的,The scholarly paper illustrates the significant impact of designate in the empirical study.
desolate,动态发音,adj. 荒无人烟的，荒凉的；凄凉的，孤独忧伤的; v. 使悲痛欲绝，使孤独凄凉；使荒凉，使成废墟,The scholarly paper illustrates the significant impact of desolate in the empirical study.
despise,动态发音,v. 鄙视，厌恶，看不起,The scholarly paper illustrates the significant impact of despise in the empirical study.
detach,动态发音,v. 拆下，使分离；脱离，摆脱；派遣，分派,The scholarly paper illustrates the significant impact of detach in the empirical study.
deteriorate,动态发音,v. 恶化，变坏,The scholarly paper illustrates the significant impact of deteriorate in the empirical study.
deviate,动态发音,v. 偏离，脱离；违背; adj. 离经叛道的; n. 异类，偏离规范的人；偏离,The scholarly paper illustrates the significant impact of deviate in the empirical study.
devise,动态发音,v. 设计，发明；<法律>（通过遗嘱）遗赠（不动产）；<古>图谋; n. <法律>（遗嘱中）遗赠不动...,The scholarly paper illustrates the significant impact of devise in the empirical study.
devote,动态发音,v. 献身，致力；用于,The scholarly paper illustrates the significant impact of devote in the empirical study.
diagnose,动态发音,v. 诊断（病症）；找出原因,The scholarly paper illustrates the significant impact of diagnose in the empirical study.
dictate,动态发音,v. 命令，规定；影响，支配；口述，使听写; n. 命令，规定,The scholarly paper illustrates the significant impact of dictate in the empirical study.
differentiate,动态发音,v. 使不同；求……的微分；区别,The scholarly paper illustrates the significant impact of differentiate in the empirical study.
diffuse,动态发音,v. 扩散，弥漫；减弱，平息（不良情绪或局面）；传播，散布; adj. 扩散的，弥漫的；难解的，冗长...,The scholarly paper illustrates the significant impact of diffuse in the empirical study.
dilemma,动态发音,n. （进退两难的）窘境，困境；二难推理，两刀论法,The scholarly paper illustrates the significant impact of dilemma in the empirical study.
diminish,动态发音,v. 减弱，降低，减少；贬低，轻视,The scholarly paper illustrates the significant impact of diminish in the empirical study.
discipline,动态发音,n. 纪律，风纪；惩罚，处分；训导，管教；训练，锻炼；自制力，自律能力；（尤指大学的）科目，学科; ...,The scholarly paper illustrates the significant impact of discipline in the empirical study.
disclose,动态发音,v. 透露，公开；揭开，使显露,The scholarly paper illustrates the significant impact of disclose in the empirical study.
discrepancy,动态发音,n. 差异，不符,The scholarly paper illustrates the significant impact of discrepancy in the empirical study.
discriminate,动态发音,v. 区分，辨别；歧视，区别对待,The scholarly paper illustrates the significant impact of discriminate in the empirical study.
disguise,动态发音,v. 假扮，伪装；掩饰，隐瞒; n. 伪装物，伪装,The scholarly paper illustrates the significant impact of disguise in the empirical study.
dismiss,动态发音,v. 开除，解雇；不考虑，不理会；驳回，停止受理；让……离开，解散；（板球）使退场，使出局,The scholarly paper illustrates the significant impact of dismiss in the empirical study.
displace,动态发音,v. 取代，代替；使（人或动物群体）离开家园；移动，转移,The scholarly paper illustrates the significant impact of displace in the empirical study.
dispose,动态发音,v. 处理，放置，安排；使易于，使倾向于；丢掉,The scholarly paper illustrates the significant impact of dispose in the empirical study.
dispute,动态发音,n. 争论，辩论，纠纷; v. 对……提出质疑，否认；争论，辩论；争夺，竞争；<旧>阻止（着陆），抵...,The scholarly paper illustrates the significant impact of dispute in the empirical study.
disregard,动态发音,v. 忽视，轻视，不尊重; n. 漠视，轻视,The scholarly paper illustrates the significant impact of disregard in the empirical study.
distinct,动态发音,adj. 不同的，有区别的；清楚的，明显的；确切的,The scholarly paper illustrates the significant impact of distinct in the empirical study.
distort,动态发音,v. 扭曲，使失真；歪曲，曲解,The scholarly paper illustrates the significant impact of distort in the empirical study.
distract,动态发音,v. 使分心，使转移注意力；<古>使困惑，使迷惑,The scholarly paper illustrates the significant impact of distract in the empirical study.
distribute,动态发音,v. 分发，分配；配送，分销；散布，使分布；（印刷）拆（版）还字；周延,The scholarly paper illustrates the significant impact of distribute in the empirical study.
diverse,动态发音,adj. 不同的，各式各样的,The scholarly paper illustrates the significant impact of diverse in the empirical study.
divert,动态发音,v. 使转向，使绕道；分散，转移；娱乐，供消遣；转接（电话）；改变（资金、材料等）的用途; 【名】 ...,The scholarly paper illustrates the significant impact of divert in the empirical study.
divide,动态发音,v. （使）分开，分散；分配，分担；使分离；分隔，隔开；使产生分歧；除，除以；分岔; n. 差异，分...,The scholarly paper illustrates the significant impact of divide in the empirical study.
document,动态发音,n. 文件，公文，文献；证件，单据；（计算机）文件，文档; v. 记录，记载（详情）,The scholarly paper illustrates the significant impact of document in the empirical study.
domestic,动态发音,adj. 国内的，本国的；家用的，家庭的；喜爱家庭生活的，乐于操持家务的；非野生的，驯养的; n. ...,The scholarly paper illustrates the significant impact of domestic in the empirical study.
dominant,动态发音,adj. 占支配地位的，占优势的；（基因）显性的; n. 显性（性状），显性基因,The scholarly paper illustrates the significant impact of dominant in the empirical study.
dominate,动态发音,v. 统治，支配；在……中占首要地位；俯视，高耸于；占绝对优势,The scholarly paper illustrates the significant impact of dominate in the empirical study.
doom,动态发音,n. 厄运，劫数；悲观，沮丧; v. 注定; 【名】 （Doom）（泰）伦（人名）,The scholarly paper illustrates the significant impact of doom in the empirical study.
drastic,动态发音,adj. 极端的，激烈的,The scholarly paper illustrates the significant impact of drastic in the empirical study.
durable,动态发音,adj. 持久的，耐用的；<非正式>（人）有耐力的，坚韧不拔的; n. 耐用品,The scholarly paper illustrates the significant impact of durable in the empirical study.
dynamic,动态发音,adj. 充满活力的，精力充沛的；动态的，发展变化的；力的，动力的; n. 动力，活力；相互作用，动...,The scholarly paper illustrates the significant impact of dynamic in the empirical study.
echo,动态发音,n. 回声，回音，余音绕梁；重复，附和，共鸣；相似之处，再现；回声插入；（话语结构和内容的）重复；（...,The scholarly paper illustrates the significant impact of echo in the empirical study.
eclipse,动态发音,n. 日食，月食；黯然失色；羽毛暗淡期；消失，丧失; v. 遮住……的光，使黯然失色,The scholarly paper illustrates the significant impact of eclipse in the empirical study.
ecology,动态发音,n. 生态学；生态；生态保护运动,The scholarly paper illustrates the significant impact of ecology in the empirical study.
economic,动态发音,adj. 经济的，经济学的；有利可图的；节约的,The scholarly paper illustrates the significant impact of economic in the empirical study.
edge,动态发音,n. 边，边缘；锋，刃；优势；影响力，奇特的品质；（声音里的）尖锐，怒气；（坏事的）边缘，临界点；棱...,The scholarly paper illustrates the significant impact of edge in the empirical study.
edit,动态发音,v. 编辑，校订；编选；剪辑；主编; n. 编辑，校订，剪辑; 【名】 （Edit）（罗、匈）埃迪特...,The scholarly paper illustrates the significant impact of edit in the empirical study.
effect,动态发音,n. 作用，影响；（刻意制造的）效果，印象；所有物，财产；生效，实行; v. 实现，引起,The scholarly paper illustrates the significant impact of effect in the empirical study.
efficiency,动态发音,n. 效率，效能；（机器的）功率,The scholarly paper illustrates the significant impact of efficiency in the empirical study.
efficient,动态发音,adj. 生效的，效率高的；（人）有能力的，能胜任的,The scholarly paper illustrates the significant impact of efficient in the empirical study.
effort,动态发音,n. 努力，艰难的尝试；力气，精力；有组织的活动；努力的结果，成就；努力的结果，成就,The scholarly paper illustrates the significant impact of effort in the empirical study.
ego,动态发音,n. 自负，自尊，自我意识；（心理学）自我; 【名】 （Ego）（法）埃戈，（日）依怙（人名）,The scholarly paper illustrates the significant impact of ego in the empirical study.
elaborate,动态发音,adj. 复杂的，详尽的；精心制作的; v. 详细说明，详尽阐述；精心制作,The scholarly paper illustrates the significant impact of elaborate in the empirical study.
elastic,动态发音,adj. 有弹性的；灵活的; n. 弹性织物，松紧带,The scholarly paper illustrates the significant impact of elastic in the empirical study.
elbow,动态发音,n. 肘，肘部；弯处，肘状物; v. 用肘推挤，用肘击打,The scholarly paper illustrates the significant impact of elbow in the empirical study.
elect,动态发音,v. 选举；选择（做）；（上帝）挑选（某人）（而使其灵魂永远得救）; adj. 候任的；选中的，卓越...,The scholarly paper illustrates the significant impact of elect in the empirical study.
elegant,动态发音,adj. （人）高雅的，举止优雅的；精美的，雅致的；简练的，巧妙的,The scholarly paper illustrates the significant impact of elegant in the empirical study.
element,动态发音,n. 基本部分，要素；元素；有点，少量；一群人；恶劣天气（the elements）；基本原理；适宜...,The scholarly paper illustrates the significant impact of element in the empirical study.
elevate,动态发音,v. 提拔，提升；抬起，提起；提高，增加；使情绪高昂，使兴高采烈,The scholarly paper illustrates the significant impact of elevate in the empirical study.
eliminate,动态发音,v. 剔除，根除；对……不予考虑，把……排除在外；（比赛中）淘汰；铲除，杀害；（生理）排除，排泄；消...,The scholarly paper illustrates the significant impact of eliminate in the empirical study.
elite,动态发音,n. 权力集团，上层人士；尖子，精英; adj. 出类拔萃的，精锐的,The scholarly paper illustrates the significant impact of elite in the empirical study.
eloquent,动态发音,adj. 雄辩的，口才流利的；传神的，明确表示的,The scholarly paper illustrates the significant impact of eloquent in the empirical study.
embark,动态发音,v. 上船，上飞机；着手，开始（新的或艰难的事情）,The scholarly paper illustrates the significant impact of embark in the empirical study.
embarrass,动态发音,v. （使）尴尬，窘迫；使难堪，使为难；<古>妨碍（人，移动，行动）；<古>使困难重重，使复杂化,The scholarly paper illustrates the significant impact of embarrass in the empirical study.
embody,动态发音,v. 具体表现，体现；收录，包括；<古>（尤指为军事目的）组织; 【名】 （Embody）（英）恩博...,The scholarly paper illustrates the significant impact of embody in the empirical study.
embrace,动态发音,v. 拥抱；欣然接受，乐意采纳；包括，涉及；围绕，环绕; n. 拥抱；接受，信奉,The scholarly paper illustrates the significant impact of embrace in the empirical study.
emerge,动态发音,v. 浮现，出现；显露，知悉；恢复过来，幸存下来；形成，兴起,The scholarly paper illustrates the significant impact of emerge in the empirical study.
eminent,动态发音,adj. （在某领域或职业中）卓越的，出众的；突出的，明显的,The scholarly paper illustrates the significant impact of eminent in the empirical study.
emit,动态发音,v. 排放，散发（尤指气体、辐射物）；发出（声音或噪音）；发行，发表,The scholarly paper illustrates the significant impact of emit in the empirical study.
emotion,动态发音,n. 情感，情绪；激情，强烈的情感,The scholarly paper illustrates the significant impact of emotion in the empirical study.
emphasis,动态发音,n. 重要性，重点强调；重读，强调；（表达的）强有力,The scholarly paper illustrates the significant impact of emphasis in the empirical study.
emphasize,动态发音,v. 强调，着重；重读（单词或短语）；使突出（或明显）,The scholarly paper illustrates the significant impact of emphasize in the empirical study.
empirical,动态发音,adj. 经验主义的，以经验为依据的,The scholarly paper illustrates the significant impact of empirical in the empirical study.
employ,动态发音,v. 雇用；使用，利用；忙于，从事（be employed in）; n. 受雇（in the em...,The scholarly paper illustrates the significant impact of employ in the empirical study.
empty,动态发音,adj. 空的；空洞的，无意义的；空虚的；无知的，愚蠢的；无用的，徒劳的; v. 清空；变空；流入；...,The scholarly paper illustrates the significant impact of empty in the empirical study.
emulate,动态发音,v. 仿效，模仿；仿真；努力赶上; adj. <古>争强好胜的,The scholarly paper illustrates the significant impact of emulate in the empirical study.
enable,动态发音,v. 使能够，使可能；激活，启动；准许，授权,The scholarly paper illustrates the significant impact of enable in the empirical study.
enact,动态发音,v. 制定，通过，颁布（法令）；扮演，表演；使发生，付诸实际,The scholarly paper illustrates the significant impact of enact in the empirical study.
enclose,动态发音,v. 包围，围住；随信附上，随信装入,The scholarly paper illustrates the significant impact of enclose in the empirical study.
encounter,动态发音,v. 遭遇；偶遇，邂逅; n. 偶遇，邂逅；经历，体验；冲突；比赛，交锋,The scholarly paper illustrates the significant impact of encounter in the empirical study.
encourage,动态发音,v. 鼓励，激励；鼓动，怂恿；刺激，促进,The scholarly paper illustrates the significant impact of encourage in the empirical study.
endeavor,动态发音,n. 努力；尽力（等于 endeavour）; vi. 努力；尽力（等于 endeavour）; v...,The scholarly paper illustrates the significant impact of endeavor in the empirical study.
endow,动态发音,v. 向（人，机构）捐赠，资助；赋予,The scholarly paper illustrates the significant impact of endow in the empirical study.
endure,动态发音,v. 持续存在，持久；忍受，忍耐,The scholarly paper illustrates the significant impact of endure in the empirical study.
energy,动态发音,n. 能力，力气；精力，活力；能源；能，能量,The scholarly paper illustrates the significant impact of energy in the empirical study.
enforce,动态发音,v. 实施，执行（法律、规章）；强迫，迫使；<旧>竭力使人接受（要求，论点）,The scholarly paper illustrates the significant impact of enforce in the empirical study.
engage,动态发音,v. 雇用，聘请；参加，从事；吸引，引起；与……交战，开战；（使）（机器）啮合，接合；<旧>预定（膳...,The scholarly paper illustrates the significant impact of engage in the empirical study.
engine,动态发音,n. 发动机，引擎；机车，火车头；专用装备，器械；工具，手段；驱动力，推动力,The scholarly paper illustrates the significant impact of engine in the empirical study.
enhance,动态发音,v. 增强，提高，改善,The scholarly paper illustrates the significant impact of enhance in the empirical study.
enigma,动态发音,n. 谜，不可思议的东西,The scholarly paper illustrates the significant impact of enigma in the empirical study.
enjoy,动态发音,v. 享受，欣赏，喜爱；过得愉快，玩得开心（enjoy oneself）；享有，拥有；<美，非正式>...,The scholarly paper illustrates the significant impact of enjoy in the empirical study.
enlarge,动态发音,v. 扩大，增大，放大；详述（enlarge on）,The scholarly paper illustrates the significant impact of enlarge in the empirical study.
enormous,动态发音,adj. 巨大的，极大的；<古>凶暴的，极恶的,The scholarly paper illustrates the significant impact of enormous in the empirical study.
ensure,动态发音,v. 确保，保证；保护，使安全,The scholarly paper illustrates the significant impact of ensure in the empirical study.
entail,动态发音,v. 使必要，需要；<旧>遗赠（财产），限定继承；使人承担; n. 限定继承，限嗣继承的财产,The scholarly paper illustrates the significant impact of entail in the empirical study.
enterprise,动态发音,n. 企业，事业单位；事业心，进取心；事业；创业，企业经营,The scholarly paper illustrates the significant impact of enterprise in the empirical study.
entertain,动态发音,v. 使有兴趣，使快乐；心存，怀有（想法、希望、感觉等）；招待，请客,The scholarly paper illustrates the significant impact of entertain in the empirical study.
enthusiasm,动态发音,n. 热情，热忱；热衷的活动，热爱的事物,The scholarly paper illustrates the significant impact of enthusiasm in the empirical study.
entitle,动态发音,v. 给予（某人）权利，给（某人）资格；给......命名，给......题名,The scholarly paper illustrates the significant impact of entitle in the empirical study.
entity,动态发音,n. 实体，独立存在体,The scholarly paper illustrates the significant impact of entity in the empirical study.
entrepreneur,动态发音,n. 企业家，创业者；主办者，提倡者,The scholarly paper illustrates the significant impact of entrepreneur in the empirical study.
envisage,动态发音,v. 设想，展望；<古>正视，面对,The scholarly paper illustrates the significant impact of envisage in the empirical study.
envy,动态发音,v. 羡慕，忌妒；向往，渴望（别人的东西）; n. 妒忌，羡慕；令人羡慕的人（或事物）,The scholarly paper illustrates the significant impact of envy in the empirical study.
epidemic,动态发音,n. 流行病，传染病；（迅速的）盛行，蔓延; adj. 盛行的，泛滥的,The scholarly paper illustrates the significant impact of epidemic in the empirical study.
episode,动态发音,n. 一段经历，一段时期；（电视剧或广播剧的）集，一集；疾病的发作，发病；插句，插段；（希腊悲剧中）...,The scholarly paper illustrates the significant impact of episode in the empirical study.
epoch,动态发音,n. 时代，纪元；值得纪念的事件（或日期）；世（地质年代，纪下分世）；历元,The scholarly paper illustrates the significant impact of epoch in the empirical study.
equal,动态发音,adj. （在数量、大小、程度、价值方面）相等的，相同的；平等的，同等的；胜任的，合适的；势均力敌的...,The scholarly paper illustrates the significant impact of equal in the empirical study.
equation,动态发音,n. 等式，方程（式）；等同（看待）；（必须考虑多种因素的）复杂局面（或问题）,The scholarly paper illustrates the significant impact of equation in the empirical study.
equip,动态发音,v. 装备，配备；使有所准备，使能够胜任,The scholarly paper illustrates the significant impact of equip in the empirical study.
equity,动态发音,n. 公平，公正；资产净值；普通股；衡平法,The scholarly paper illustrates the significant impact of equity in the empirical study.
equivalent,动态发音,adj. 等同的，等效的; n. 对等的人（或事物），对应的人（或事物）；当量（equivalent...,The scholarly paper illustrates the significant impact of equivalent in the empirical study.
erase,动态发音,v. 抹去，擦掉；删除；忘却；消除，消灭；（易）被擦掉，（易）被抹去,The scholarly paper illustrates the significant impact of erase in the empirical study.
erect,动态发音,v. 搭建，建造；使竖立，竖起；创立，建立；安装，装配；（使）勃起; adj. 竖直的，直立的；竖起...,The scholarly paper illustrates the significant impact of erect in the empirical study.
erode,动态发音,v. 侵蚀，腐蚀；削弱，降低,The scholarly paper illustrates the significant impact of erode in the empirical study.
erroneous,动态发音,adj. 错误的，不正确的,The scholarly paper illustrates the significant impact of erroneous in the empirical study.
erupt,动态发音,v. 喷发；爆发，突然发生；（感情）迸发；（斑疹等）突然冒出；长牙,The scholarly paper illustrates the significant impact of erupt in the empirical study.
escalate,动态发音,v. （使）变得严重，（使）升级；迅速增加，迅速增长；逐步增强，逐步升高,The scholarly paper illustrates the significant impact of escalate in the empirical study.
